time,open,close,high,low,volume
1737129600000,103966.9,104951.1,104996.7,103805.6,1585.28
1737133200000,104955.5,104099.8,105276.2,103991.8,1427.01
1737136800000,104100.0,104807.2,104899.9,104014.3,638.53
1737140400000,104807.0,105786.8,105800.0,104650.4,1264.42
1737144000000,105786.8,104663.8,105800.0,104502.8,944.68
1737147600000,104663.5,104575.9,105020.2,104430.6,628.39
1737151200000,104573.2,104389.1,104670.2,104175.1,413.73
1737154800000,104388.9,104063.7,104500.0,104054.5,286.94
1737158400000,104063.9,104631.6,104645.5,104053.0,392.08
1737162000000,104631.4,104240.1,104631.6,104078.9,363.80
1737165600000,104240.3,104303.7,104483.5,104216.8,153.25
1737169200000,104303.9,103545.0,104448.3,103023.2,1108.09
1737172800000,103544.8,103576.4,103690.9,102652.6,1080.61
1737176400000,103576.4,102800.3,103745.8,102791.0,657.53
1737180000000,102800.1,103424.3,103615.1,102792.8,672.09
1737183600000,103424.3,102800.1,103483.8,102578.8,596.24
1737187200000,102800.2,103251.0,103316.8,102259.6,866.76
1737190800000,103250.8,103142.7,103439.6,103022.5,395.23
1737194400000,103142.5,103160.0,103276.3,102815.9,489.33
1737198000000,103159.8,103559.9,103863.9,102913.5,518.42
1737201600000,103559.9,103421.5,104012.4,103340.5,488.22
1737205200000,103421.4,104333.7,104385.1,103113.0,687.56
1737208800000,104333.5,103954.3,104537.5,103707.1,820.46
1737212400000,103954.5,104531.4,104973.4,103725.9,787.09
1737216000000,104531.4,103220.9,104695.4,103117.1,1046.00
1737219600000,103221.1,103793.5,104211.3,103220.9,502.59
1737223200000,103791.0,104065.6,104386.9,103763.7,371.79
1737226800000,104065.6,104376.1,104476.9,104036.5,185.60
1737230400000,104376.1,104011.8,104490.3,103759.3,345.30
1737234000000,104011.8,103872.0,104254.5,103867.6,239.65
1737237600000,103871.6,104279.4,104307.0,103844.5,166.65
1737241200000,104279.4,104534.9,104745.0,104279.3,369.40
1737244800000,104535.1,104100.6,104537.6,104091.6,283.29
1737248400000,104100.6,104471.8,104669.4,103991.0,311.27
1737252000000,104472.0,104855.7,105450.0,104467.0,765.07
1737255600000,104855.7,104968.2,105170.6,104524.1,399.39
1737259200000,104968.2,105019.9,105240.0,104656.9,459.00
1737262800000,105019.9,105108.1,105121.2,104250.0,505.60
1737266400000,105108.1,105553.5,105627.7,105002.9,494.64
1737270000000,105553.7,105163.6,105586.6,104955.8,448.65
1737273600000,105163.6,104421.9,105164.1,104316.8,681.77
1737277200000,104421.7,105301.5,105460.2,103454.9,1496.47
1737280800000,105296.3,104824.4,105307.1,104400.0,732.01
1737284400000,104826.0,104357.7,105349.9,104192.5,662.41
1737288000000,104357.9,104930.4,105043.5,104294.1,746.18
1737291600000,104930.6,104959.8,105316.5,104859.5,552.75
1737295200000,104960.0,105146.6,105722.3,104781.9,965.93
1737298800000,105146.4,104933.5,105230.0,104500.0,650.54
1737302400000,104933.5,104940.1,105220.0,104707.0,272.84
1737306000000,104940.3,105126.6,105150.0,104510.5,326.68
1737309600000,105126.6,105032.1,105265.0,104895.7,231.00
1737313200000,105032.1,106246.8,106265.2,104966.7,710.60
1737316800000,106246.8,106302.7,106470.9,105506.0,872.15
1737320400000,106302.5,103692.7,106399.9,103688.2,1485.94
1737324000000,103691.0,103394.9,104515.7,101050.7,2596.75
1737327600000,103394.9,101306.8,103395.0,99652.3,3960.65
1737331200000,101318.3,99779.1,101666.8,99504.5,2137.46
1737334800000,99779.2,100676.3,100963.5,99612.5,1308.75
1737338400000,100681.1,101909.2,102317.6,100587.6,1198.23
1737342000000,101928.1,101892.8,102211.4,101408.5,595.37
1737345600000,101889.7,102212.3,102808.0,101532.3,831.17
1737349200000,102212.3,102346.4,102828.7,102106.6,563.30
1737352800000,102346.4,107581.4,109952.8,102223.8,3231.96
1737356400000,107602.1,107179.5,109556.1,106988.6,2626.12
1737360000000,107191.3,108351.5,108430.2,107169.1,744.90
1737363600000,108351.8,108176.9,109236.1,107593.8,985.32
1737367200000,108176.7,108010.5,108781.1,107818.3,554.88
1737370800000,108005.9,108273.0,108594.5,107827.7,646.00
1737374400000,108272.8,106948.0,108750.0,105535.1,2857.60
1737378000000,106947.8,108001.9,108167.1,106678.1,1126.34
1737381600000,108001.7,107922.6,108177.1,107328.2,645.45
1737385200000,107912.1,104973.5,108040.0,104515.4,1791.26
1737388800000,104984.5,106689.9,107072.8,103750.6,2118.21
1737392400000,106685.4,102913.0,106792.5,100558.4,5732.54
1737396000000,102943.6,103916.3,104469.0,102700.2,1031.73
1737399600000,103920.5,103685.4,103960.0,102740.2,653.63
1737403200000,103685.4,103639.3,104328.4,103343.0,506.40
1737406800000,103639.5,102600.9,104074.9,102565.0,587.89
1737410400000,102601.7,103579.7,103816.6,101842.9,664.68
1737414000000,103585.7,102258.6,103685.7,101723.4,797.95
1737417600000,102258.6,101188.2,102674.0,101099.0,945.22
1737421200000,101188.2,101492.6,102224.7,100125.1,1256.86
1737424800000,101487.8,102534.0,102754.8,101054.8,662.21
1737428400000,102533.8,102921.3,103250.0,102289.7,494.31
1737432000000,102921.3,102331.3,102965.1,101914.9,552.12
1737435600000,102331.1,101361.0,102518.7,101341.4,497.62
1737439200000,101369.3,102161.6,102176.7,101107.4,538.92
1737442800000,102167.9,101979.7,102468.1,101806.4,425.02
1737446400000,101979.7,102441.7,102492.0,101727.8,425.21
1737450000000,102441.7,102687.4,102883.3,102051.2,444.84
1737453600000,102687.2,103151.1,103360.9,102554.1,429.70
1737457200000,103151.1,103743.5,103970.2,103075.7,643.88
1737460800000,103743.5,104487.9,104711.9,103602.2,738.23
1737464400000,104489.3,104447.8,104966.3,104125.0,720.47
1737468000000,104447.6,103273.7,105311.0,103020.9,1957.72
1737471600000,103273.4,103938.3,104094.0,102801.0,1119.18
1737475200000,103938.3,104972.5,106553.3,103800.0,2089.65
1737478800000,104972.5,106165.6,106400.0,104890.1,831.32
1737482400000,106165.8,106858.9,107244.0,105880.8,1023.02
1737486000000,106859.1,107016.1,107153.8,106275.6,628.70
1737489600000,107016.1,106113.4,107194.0,105915.0,697.60
1737493200000,106114.2,106761.2,106809.3,105741.1,500.94
1737496800000,106760.7,105982.5,106763.1,105956.1,293.17
1737500400000,105982.7,106136.6,106284.7,105410.0,495.53
1737504000000,106136.6,105937.0,106317.3,105781.0,418.74
1737507600000,105937.0,105793.6,106399.9,105443.5,572.47
1737511200000,105793.3,105578.5,106200.0,105547.3,325.64
1737514800000,105578.4,105593.6,105906.3,105574.8,217.37
1737518400000,105593.6,105571.9,105819.9,105270.7,332.45
1737522000000,105569.5,105689.2,105862.7,105481.3,342.58
1737525600000,105689.2,105374.8,105949.9,105167.0,555.76
1737529200000,105374.8,105080.1,105673.0,105038.8,462.09
1737532800000,105080.0,105260.3,105348.5,104682.8,805.56
1737536400000,105260.1,104983.8,105262.6,104901.2,321.19
1737540000000,104983.6,105120.5,105154.9,104616.5,416.87
1737543600000,105117.2,105099.8,105463.5,104750.0,570.60
1737547200000,105105.7,105261.2,105571.8,105056.7,522.75
1737550800000,105257.7,104066.6,105350.6,103800.9,1285.73
1737554400000,104064.0,104369.9,104921.4,103626.6,1646.65
1737558000000,104369.8,104158.5,105141.0,103949.6,1196.28
1737561600000,104158.3,103684.8,104199.4,103320.2,1283.82
1737565200000,103685.0,104321.8,104587.1,103646.5,804.18
1737568800000,104321.8,103878.1,104674.7,103730.2,579.40
1737572400000,103878.1,104613.1,104739.2,103832.7,566.98
1737576000000,104612.9,104288.0,104817.8,104054.7,577.80
1737579600000,104288.0,104067.4,104344.9,103579.5,452.17
1737583200000,104061.7,103846.6,104489.1,103751.7,410.66
1737586800000,103846.6,103684.5,104120.0,103625.5,378.26
1737590400000,103684.3,103282.9,103792.5,103037.5,769.92
1737594000000,103284.4,102925.7,103650.2,102568.0,875.30
1737597600000,102925.7,102631.3,102981.5,102101.0,1147.48
1737601200000,102631.1,102421.0,102960.6,102160.3,680.47
1737604800000,102420.9,102036.1,102466.7,101564.8,1042.05
1737608400000,102037.6,102508.3,102615.7,101957.2,654.73
1737612000000,102508.3,102239.9,102948.7,102197.6,647.81
1737615600000,102239.9,102675.9,102757.8,102066.0,572.92
1737619200000,102675.9,102189.0,102678.8,102019.2,580.94
1737622800000,102189.0,101651.4,102460.2,101625.0,607.11
1737626400000,101651.4,101662.7,102057.7,101230.6,1044.01
1737630000000,101662.9,101915.1,102175.9,101660.7,499.66
1737633600000,101915.0,101617.4,102113.3,101389.8,700.76
1737637200000,101617.2,102486.1,102684.7,101302.9,1120.22
1737640800000,102486.1,105167.4,106045.6,101960.5,4311.34
1737644400000,105170.0,105198.4,105771.1,102637.2,5939.41
1737648000000,105200.0,105125.7,106850.6,105008.6,3476.19
1737651600000,105125.6,105916.0,106221.0,104200.0,1636.61
1737655200000,105918.6,105399.6,106145.8,105069.5,1090.73
1737658800000,105399.6,103739.1,105489.8,103359.2,1114.17
1737662400000,103734.7,103246.6,106379.9,102555.0,5203.38
1737666000000,103232.6,103027.9,103357.0,102173.4,1312.67
1737669600000,103032.4,103957.3,104686.7,102948.7,1098.03
1737673200000,103957.3,103884.1,104507.1,103752.0,1479.64
1737676800000,103883.9,103434.1,104136.6,103398.7,455.20
1737680400000,103434.1,103198.0,103871.5,103041.2,520.39
1737684000000,103198.0,102999.1,103503.3,102927.2,390.90
1737687600000,102999.0,103856.3,104265.5,102711.6,761.93
1737691200000,103856.5,104590.1,104904.1,103766.8,724.71
1737694800000,104588.9,105191.5,105246.7,104508.3,520.62
1737698400000,105191.3,104968.4,105326.0,104603.2,363.89
1737702000000,104968.2,105016.8,105162.8,104640.0,309.85
1737705600000,105017.0,105476.4,105629.6,104893.6,589.28
1737709200000,105470.2,105126.8,105745.3,105035.7,353.19
1737712800000,105126.8,105390.8,105422.2,105021.9,369.73
1737716400000,105390.8,105390.1,105513.9,105199.0,185.87
1737720000000,105390.3,105507.2,105583.8,105151.8,299.92
1737723600000,105507.2,105088.0,105782.5,104956.8,658.91
1737727200000,105088.0,105737.2,106320.0,104637.6,1242.39
1737730800000,105737.2,105839.2,105981.4,105225.4,648.65
1737734400000,105838.8,105626.9,106164.4,105551.3,524.93
1737738000000,105623.8,106435.1,106680.2,105594.1,701.94
1737741600000,106435.1,106316.9,107109.9,106064.6,856.13
1737745200000,106316.9,105744.6,106598.0,105661.0,548.45
1737748800000,105744.6,104815.2,105758.8,104700.0,875.67
1737752400000,104825.6,105091.8,105359.9,104825.6,502.49
1737756000000,105092.0,104738.3,105452.0,104671.4,305.10
1737759600000,104741.5,104825.7,104895.7,104424.6,544.33
1737763200000,104825.7,104400.0,104827.2,104329.7,447.55
1737766800000,104400.2,104702.2,104800.0,104357.1,321.26
1737770400000,104702.2,104536.2,104815.0,104437.4,226.26
1737774000000,104536.2,105172.7,105249.8,104425.5,471.46
1737777600000,105172.7,104631.5,105172.8,104582.1,284.16
1737781200000,104631.3,104329.1,104678.4,104219.6,425.29
1737784800000,104329.3,104281.5,104445.7,104190.6,301.10
1737788400000,104281.5,104359.3,104495.0,104253.1,204.62
1737792000000,104359.3,104317.8,104466.5,104090.1,306.97
1737795600000,104317.7,104333.0,104425.2,104237.5,135.34
1737799200000,104333.0,104495.3,104633.8,104066.0,393.52
1737802800000,104495.5,104640.3,104668.1,104353.4,311.86
1737806400000,104640.5,104708.7,104766.2,104423.5,285.08
1737810000000,104708.8,104679.7,104830.9,104592.0,340.89
1737813600000,104679.7,104563.3,104696.8,104433.5,208.77
1737817200000,104563.5,104862.9,105094.0,104563.3,514.37
1737820800000,104862.9,104630.6,104952.0,104539.0,315.47
1737824400000,104630.8,104862.0,104895.1,104413.8,351.62
1737828000000,104862.2,104957.1,105276.2,104800.0,453.05
1737831600000,104957.1,105017.3,105157.1,104871.8,203.53
1737835200000,105017.3,104938.1,105162.4,104934.7,140.92
1737838800000,104938.1,105078.1,105107.9,104837.3,243.91
1737842400000,105078.1,105051.0,105237.3,104984.3,189.87
1737846000000,105051.0,104723.4,105100.0,104662.2,302.44
1737849600000,104723.6,104586.4,104839.4,104500.0,245.49
1737853200000,104586.4,104594.6,104757.9,104500.0,189.90
1737856800000,104594.6,104661.0,104697.7,104495.7,151.76
1737860400000,104661.0,105043.6,105219.3,104654.9,516.18
1737864000000,105043.6,105152.8,105484.8,104952.0,464.48
1737867600000,105153.1,105072.4,105180.8,104995.0,152.73
1737871200000,105072.4,104978.3,105098.1,104937.0,121.87
1737874800000,104978.3,104978.1,105087.9,104914.5,125.65
1737878400000,104978.1,105007.5,105214.8,104837.3,295.20
1737882000000,105007.3,104598.5,105011.0,104402.0,684.47
1737885600000,104598.5,104690.0,104692.0,104453.9,296.91
1737889200000,104690.1,104790.0,104832.4,104632.2,237.58
1737892800000,104790.0,104871.8,104872.6,104666.5,224.38
1737896400000,104871.8,104936.2,105036.8,104806.1,371.80
1737900000000,104936.4,104916.2,104986.9,104770.0,172.94
1737903600000,104916.0,104948.2,105068.7,104850.9,285.86
1737907200000,104948.0,104909.6,105016.4,104872.7,155.04
1737910800000,104909.6,104922.9,105026.9,104890.0,121.12
1737914400000,104922.9,105159.1,105250.0,104884.6,365.93
1737918000000,105159.1,105066.7,105233.0,105018.2,133.01
1737921600000,105066.7,104942.3,105197.0,104907.6,186.22
1737925200000,104942.5,104525.6,104974.7,104525.6,445.32
1737928800000,104525.6,104305.8,104689.6,104266.0,726.61
1737932400000,104306.0,102575.2,104306.0,102475.5,2682.72
1737936000000,102575.2,101690.7,103232.6,101545.4,1942.71
1737939600000,101693.9,101259.7,102031.8,101116.0,1585.31
1737943200000,101259.7,100957.6,101653.6,100802.8,1383.57
1737946800000,100957.6,101357.0,101823.1,100670.3,927.17
1737950400000,101357.2,100378.1,101361.8,100238.2,1224.03
1737954000000,100378.1,100334.0,100699.9,99686.8,1223.47
1737957600000,100334.2,98924.7,100458.0,98664.2,1960.18
1737961200000,98925.1,99002.9,99370.5,97720.0,2462.44
1737964800000,99002.9,98996.5,99322.4,98657.9,874.69
1737968400000,98996.3,99384.8,99499.0,98755.2,643.84
1737972000000,99385.0,98364.7,99415.0,98246.1,697.74
1737975600000,98364.5,98716.8,99334.7,98300.1,862.48
1737979200000,98716.6,100586.4,100872.3,98682.4,1282.99
1737982800000,100586.4,100460.9,101620.0,99981.6,2236.10
1737986400000,100460.9,101883.7,102264.7,100073.9,1718.01
1737990000000,101879.4,101078.2,102081.7,100825.0,1321.49
1737993600000,101078.4,99713.7,101220.2,99527.9,1418.33
1737997200000,99713.7,99127.5,100025.7,99032.0,1177.78
1738000800000,99127.5,99163.0,99734.0,98818.2,575.44
1738004400000,99163.0,99669.1,99930.4,99152.4,529.26
1738008000000,99669.1,101366.9,101724.9,99567.0,798.23
1738011600000,101366.8,101319.2,102407.9,100927.5,1116.16
1738015200000,101319.0,101598.3,101916.5,101236.4,372.30
1738018800000,101598.1,102040.5,102141.5,101598.1,420.79
1738022400000,102040.3,101827.6,102862.0,101740.9,789.66
1738026000000,101827.4,101362.2,101968.5,101355.0,373.98
1738029600000,101359.6,102367.7,102413.8,101278.1,595.29
1738033200000,102366.0,102605.7,102865.0,102003.5,521.92
1738036800000,102605.9,102879.9,103338.4,102568.1,634.06
1738040400000,102879.9,102982.9,103306.8,102788.0,487.41
1738044000000,102983.1,102716.5,103176.1,102587.8,354.72
1738047600000,102716.5,102765.3,103301.7,102493.5,504.15
1738051200000,102767.8,102822.2,103004.9,102575.7,356.38
1738054800000,102822.0,102938.6,102941.5,102362.3,409.62
1738058400000,102938.6,102721.3,103165.0,102570.0,403.58
1738062000000,102722.6,102732.3,102900.0,102534.0,229.62
1738065600000,102732.1,102571.0,102960.0,102449.0,381.20
1738069200000,102570.8,102567.0,102913.5,102442.0,422.13
1738072800000,102567.0,102611.7,102874.2,101778.8,1536.67
1738076400000,102611.9,102738.3,103794.3,102463.2,1590.86
1738080000000,102738.3,102225.5,102882.0,101895.4,977.45
1738083600000,102225.5,102537.7,103072.9,102182.6,821.86
1738087200000,102537.9,102169.6,103088.8,102124.6,825.84
1738090800000,102169.4,102390.1,102635.4,101778.6,726.01
1738094400000,102388.4,101234.1,102508.4,101203.2,867.70
1738098000000,101234.1,100300.4,101500.0,100240.8,955.65
1738101600000,100300.4,101236.5,101374.7,100250.0,789.68
1738105200000,101236.7,101300.3,101418.8,100712.0,427.74
1738108800000,101300.3,101667.5,101784.6,101290.0,471.81
1738112400000,101667.7,101809.7,101966.1,101428.9,328.83
1738116000000,101809.1,101760.7,102282.0,101670.0,375.78
1738119600000,101760.9,102004.4,102137.7,101740.6,324.11
1738123200000,102004.4,101974.2,102163.8,101927.6,199.49
1738126800000,101972.1,102234.9,102365.1,101953.6,279.29
1738130400000,102234.9,102780.0,102821.1,102206.1,546.38
1738134000000,102779.9,102727.5,102780.0,102430.1,417.26
1738137600000,102727.3,102717.4,103031.3,102648.0,526.55
1738141200000,102716.3,102310.7,102759.0,102282.2,454.98
1738144800000,102311.4,102519.0,102708.1,102190.0,409.57
1738148400000,102520.3,102607.0,102783.9,102384.3,253.04
1738152000000,102607.0,102215.8,102793.1,102193.9,489.34
1738155600000,102215.8,101807.8,102317.4,101674.3,884.47
1738159200000,101807.8,102001.6,102356.8,101545.2,928.37
1738162800000,102020.0,101946.8,102504.0,101754.3,650.42
1738166400000,101946.6,102066.8,102140.1,101648.3,623.02
1738170000000,102066.8,102383.3,102759.0,101975.8,724.75
1738173600000,102383.5,102817.9,102980.0,101970.1,1034.96
1738177200000,102817.5,103567.2,103999.0,101370.9,3885.17
1738180800000,103567.5,104183.5,104761.1,102834.1,2296.21
1738184400000,104171.5,103706.7,104378.5,103686.6,937.53
1738188000000,103703.3,103458.1,104001.3,103366.4,485.95
1738191600000,103458.1,103715.1,104324.0,103431.0,438.80
1738195200000,103715.3,104004.9,104111.9,103256.9,455.76
1738198800000,104004.9,104245.4,104536.1,103893.0,393.99
1738202400000,104245.6,104658.4,104664.3,103959.2,378.45
1738206000000,104659.9,105176.5,105300.0,104478.4,717.60
1738209600000,105172.2,105461.2,105584.0,104834.6,615.87
1738213200000,105461.2,105365.1,105506.7,105025.2,498.79
1738216800000,105365.1,105166.1,105555.7,105140.7,380.05
1738220400000,105166.3,105112.7,105329.1,104793.3,455.44
1738224000000,105112.7,105040.1,105323.6,104911.0,303.98
1738227600000,105040.3,105400.1,105537.8,104987.1,364.97
1738231200000,105402.6,105324.6,105402.6,105093.1,261.17
1738234800000,105324.4,105290.3,105380.0,105045.3,249.86
1738238400000,105290.3,105000.0,105302.5,104845.2,307.10
1738242000000,105002.2,104859.9,105335.5,104821.0,568.68
1738245600000,104855.6,105897.3,106193.0,104633.8,1555.94
1738249200000,105894.2,105533.4,106420.9,105371.2,1236.26
1738252800000,105533.4,105671.3,105971.6,105432.0,405.67
1738256400000,105671.3,105259.5,105671.3,104888.0,679.46
1738260000000,105261.7,105541.5,105552.0,104716.5,504.23
1738263600000,105541.3,105682.0,105758.7,105200.0,295.52
1738267200000,105681.8,104862.8,105788.8,104800.0,628.50
1738270800000,104860.7,105013.9,105181.8,104752.7,345.51
1738274400000,105013.9,105063.8,105320.9,104940.2,160.16
1738278000000,105063.8,104701.4,105230.0,104655.3,285.92
